WELL,DEPTH,PERM_CORE,PORE_CORE
GNK-090,2281.32,12.7,0.13
GNK-090,2281.67,0.64,0.09
GNK-090,2282.02,2.44,0.11
GNK-090,2282.3,0.465,0.08
GNK-090,2282.62,2.15,0.11
GNK-090,2282.9,1.35,0.1
GNK-090,2355,-999.25,-999.25
GNK-090,2355.6,-999.25,-999.25
GNK-090,2356,-999.25,-999.25
GNK-090,2356.6,-999.25,-999.25
GNK-090,2357,-999.25,-999.25
GNK-090,2357.3,-999.25,-999.25
GNK-090,2357.6,-999.25,-999.25
GNK-090,2358.52,-999.25,-999.25
GNK-090,2358.52,-999.25,-999.25
GNK-090,2358.6,-999.25,-999.25
GNK-090,2359,-999.25,-999.25
GNK-090,2359.3,-999.25,-999.25
GNK-090,2359.6,-999.25,-999.25
GNK-090,2360.21,0.743,0.03
GNK-090,2360.33,2.19,0.04
GNK-090,2360.9,-999.25,-999.25
GNK-090,2361,-999.25,-999.25
GNK-090,2361.34,0.542,0.03
GNK-090,2361.77,1.25,0.04
GNK-090,2362,-999.25,-999.25
GNK-090,2362.3,-999.25,-999.25
GNK-090,2362.6,-999.25,-999.25
GNK-090,2363,-999.25,-999.25
GNK-090,2363.3,-999.25,-999.25
GNK-090,2363.6,-999.25,-999.25
GNK-090,2364.14,-999.25,-999.25
GNK-81,2043,84,0.25
GNK-81,2071,96,0.25
GNK-81,2075,-999.25,0.24
GNK-81,2082,-999.25,0.2
GNK-81,2092,100,0.25
GNK-81,2108,-999.25,0.25
GNK-81,2127,-999.25,0.2
GNK-81,2167,-999.25,0.24
GNK-81,2175,-999.25,0.23
GNK-81,2182,-999.25,0.25
GNK-81,2188,-999.25,0.24
GNK-81,2215,-999.25,0.18
GNK-81,2232,-999.25,0.23
GNK-81,2251,-999.25,0.22
GNK-81,2257,-999.25,0.26
GNK-81,2265,-999.25,0.24
GNK-81,2285,-999.25,0.24
GNK-81,2295,-999.25,0.23
GNK-81,2302,-999.25,0.25
GNK-81,2368,-999.25,0.15
GNK-81,2420,-999.25,0.21
GNK-81,2466,-999.25,0.25
GNK-81,2482,-999.25,0.25
GNK-81,2492,-999.25,-999.25
KRG-014,1287.62,1.91,0.203
KRG-014,1288.49,0.719,0.2
KRG-014,1292.1,0.101,0.181
KRG-014,1295.1,0.116,0.178
KRG-014,1298.57,1.56,0.209
KRG-014,1298.87,1.12,0.204
KRG-014,1299.42,1.06,0.22
KRG-014,1300.69,0.332,0.195
KRG-014,1300.9,0.383,0.193
LBK-003,1481.5,-999.25,0.22
LBK-003,1482.5,-999.25,0.19
LBK-003,1483.5,-999.25,-999.25
LBK-003,1484.5,-999.25,-999.25
LBK-003,1484.5,-999.25,-999.25
LBK-003,1485.5,-999.25,0.22
LBK-003,1539,-999.25,0.27
LBK-003,1539.5,-999.25,0.14
LBK-004,1349,61.25,0.61
LBK-004,1349.06,28.95,0.28
LBK-004,1349.39,79.86,0.27
LBK-004,1350,114.56,0.38
LBK-004,1350.5,3.34,0.31
LBK-005,1380.5,-999.25,-999.25
LBK-005,1389.5,9,0.25
LBK-005,1406,0.01,0.27
LBK-005,1410,62,0.23
LBK-005,1418,3,0.26
LBK-005,1426,0.23,0.2
LBK-005,1432,0.34,0.23
LBK-005,1436,0.44,0.26
LBK-005,1450.5,0,0.18
LBK-005,1465.5,1.15,0.21
LBK-005,1478.5,0.01,0.18
LBK-005,1488.5,105,0.23
LBK-005,1492.5,0.17,0.2
LBK-005,1499,62,0.24
LBK-005,1522.5,62,0.29
LBK-005,1533.5,145,0.27
LBK-005,1552.5,9.4,0.19
LBK-005,1561.5,12,0.29
LBK-005,1573,60,0.28
LBK-005,1600,16,0.18
LBK-005,1602.5,200,0.24
LBK-005,1615.5,1.6,0.24
LBK-007,1551,22,0.23
LBK-007,1552,0.52,0.23
LBK-007,1575.9,1.75,0.26
LBK-007,1577.1,200,0.24
LBK-007,1605.8,0.1,0.13
LBK-007,1641,0.28,0.21
LBK-007,1910.9,-999.25,-999.25
LBK-016,1669.02,-999.25,0.1
LBK-016,1685.4,6819,0.22
LBK-016,1685.85,43.3,0.18
LBK-016,1686.1,2093,0.27
LBK-016,1686.5,2898,0.27
LBK-016,1686.8,3774,0.28
LBK-016,1687.1,5326,0.24
LBK-016,1687.7,9304,0.28
LBK-016,1687.9,10565,0.29
LBK-016,1688.1,11147,0.3
LBK-016,1688.4,3309,0.27
TMB-011,1386,1.14,0.21
TMB-011,1390,0.83,0.21
TMB-011,1401.5,-999.25,0.22
TMB-011,1426,15,0.23
TMB-011,1507.5,26,0.19
TMB-011,1512,67,0.27
TMB-011,1550,36,0.24
TMB-011,1612,0.24,0.18
TMB-011,1623.5,0.18,0.16
TMB-011,1636.5,3.62,0.22
TMB-011,1718.5,1.96,0.2
TMB-011,1835.5,28,0.27
TMB-011,1902.5,-999.25,0.25
TMB-011,1966,2.16,0.22
TMB-011,2002,47,0.26
TMB-011,2011.5,-999.25,0.25
TMB-011,2087,35,0.25

TMB-013,1552.35,2570,0.25
TMB-013,1552.65,1574,0.25
TMB-013,1552.9,1382,0.23
TMB-013,1553.2,2141,0.25
TMB-013,1553.57,1202,0.21
TMB-013,1553.8,2540,0.24
TMB-013,1554.1,1696,0.23
TMB-013,1554.35,3740,0.25
TMB-013,1554.8,2358,0.25
TMB-013,1555.02,1328,0.24
TMB-013,1555.4,1503,0.24
TMB-013,1555.7,765,0.23
TMB-013,1556.05,3006,0.24
TMB-013,1556.5,2238,0.24
TMB-013,1556.8,1171,0.24
TMB-013,1557.1,1078,0.23
TMB-013,1557.4,1250,0.23
TMB-013,1557.7,1202,0.23
TMB-013,1558.15,1983,0.24
TMB-013,1558.45,1661,0.24
TMB-013,1559.05,1103,0.23
TMB-013,1559.15,955,0.22
TMB-013,1559.5,1765,0.23
TMB-013,1559.7,3992,0.24
TMB-013,1559.9,4955,0.024
TMB-013,1560.1,5740,0.25
TMB-013,1560.4,7515,0.25
TMB-013,1561.02,288,0.16
TMB-013,1561.15,1372,0.22
TMB-013,-999.25,-999.25,-999.25
TMB-013,1562.8,-999.25,-999.25
TMB-013,1566.5,-999.25,-999.25
TMB-013,1567.02,-999.25,-999.25
TMB-013,1567.5,-999.25,-999.25
TMB-014,1420.12,2570,0.25
TMB-014,1420.5,1574,0.25
TMB-014,1420.95,1382,0.23
TMB-014,1421.1,2141,0.25
TMB-014,1421.62,1202,0.21
TMB-014,1421.92,2540,0.24
TMB-014,1422.07,1696,0.23
TMB-014,1422.4,3740,0.25
TMB-014,1427.5,2358,0.25
TMB-014,1427.9,1328,0.24
TMB-014,1428.1,1503,0.24
TMB-014,1428.4,765,0.23
TMB-014,1428.7,3006,0.24
