iter	Logloss
0	0.6599045862
1	0.6312849456
2	0.6015928219
3	0.5767147167
4	0.5555110211
5	0.5349776134
6	0.5195769569
7	0.5052079866
8	0.4905316258
9	0.4762472766
10	0.4638483141
11	0.4525180132
12	0.4420282617
13	0.4304135119
14	0.4226061486
15	0.4133849986
16	0.4068461712
17	0.3996055626
18	0.3923790238
19	0.385879138
20	0.3800004658
21	0.3732559276
22	0.3667439053
23	0.3617417717
24	0.3572896191
25	0.352882474
26	0.3489273923
27	0.3449722998
28	0.3409936973
29	0.3367030499
30	0.3335011821
31	0.331083106
32	0.3285425061
33	0.3243031928
34	0.3218583879
35	0.3191089425
36	0.3154120738
37	0.3135055352
38	0.3113647067
39	0.308703216
40	0.3067957738
41	0.3037608279
42	0.3019594297
43	0.2993881246
44	0.296867775
45	0.2943102469
46	0.2928840564
47	0.2908579553
48	0.2890570951
49	0.2873494807
50	0.2862253153
51	0.2842605083
52	0.282202309
53	0.2804078629
54	0.279002449
55	0.2778537299
56	0.2769225001
57	0.2754020181
58	0.2737870327
59	0.2716560151
60	0.2695385093
61	0.2682381579
62	0.2669536317
63	0.2658550071
64	0.2645126381
65	0.2632567574
66	0.2625213704
67	0.2611981392
68	0.259309159
69	0.2577435065
70	0.2561284887
71	0.2539986224
72	0.2524577294
73	0.2511509496
74	0.2500060038
75	0.2483218259
76	0.2472704046
77	0.2463024764
78	0.2449921284
79	0.243571633
80	0.2423563947
81	0.241696
82	0.2408185015
83	0.2401523457
84	0.2391831099
85	0.2377816229
86	0.2366706716
87	0.2358592103
88	0.2349806922
89	0.2336992285
90	0.232168232
91	0.2313089958
92	0.2301098229
93	0.229319935
94	0.2281294184
95	0.2274670875
96	0.2266723202
97	0.2254413862
98	0.224711755
99	0.2240700042
100	0.2227998277
101	0.2220144932
102	0.2215951085
103	0.2210394899
104	0.2199693781
105	0.2190499984
106	0.2183455848
107	0.217458863
108	0.2164649199
109	0.2154697092
110	0.2147670803
111	0.2138373409
112	0.2131031548
113	0.2121435101
114	0.2114272211
115	0.211037376
116	0.2106995816
117	0.2101482043
118	0.2095643239
119	0.2087874053
120	0.2081080985
121	0.2074656323
122	0.2068652892
123	0.2059394199
124	0.205237646
125	0.2046604902
126	0.2041263119
127	0.2033351105
128	0.2027277533
129	0.2021416376
130	0.2012973415
131	0.2005369867
132	0.1996826202
133	0.1989402704
134	0.1981542213
135	0.1973568807
136	0.1961782246
137	0.1955823748
138	0.1948311273
139	0.1942501937
140	0.1933918981
141	0.1927769467
142	0.19204801
143	0.1914102812
144	0.1908597465
145	0.1904515398
146	0.1898853322
147	0.1894490947
148	0.1888304802
149	0.1880809989
150	0.1873487319
151	0.1866287717
152	0.185873099
153	0.1852554794
154	0.1847520114
155	0.184090668
156	0.1834954776
157	0.1827973008
158	0.1820429036
159	0.1814994652
160	0.1809835601
161	0.1804408922
162	0.1799170876
163	0.1795844422
164	0.1789801145
165	0.1783250259
166	0.1776600495
167	0.1772296373
168	0.1762560522
169	0.1755943386
170	0.1745272154
171	0.1739258123
172	0.1732761411
173	0.1726477634
174	0.1723253039
175	0.1719145094
176	0.171265053
177	0.1705970015
178	0.170225098
179	0.1696022081
180	0.1688239181
181	0.1683357829
182	0.1676134449
183	0.1671004605
184	0.1664345435
185	0.166050444
186	0.1655158967
187	0.1648721222
188	0.1645741751
189	0.164064485
190	0.1633488829
191	0.1627878019
192	0.1622177417
193	0.1618071361
194	0.1610647041
195	0.1607073986
196	0.160215222
197	0.1598598127
198	0.1591058333
199	0.1585352526
200	0.1581113373
201	0.1575876555
202	0.1570987841
203	0.1563207202
204	0.1556801107
205	0.1552185422
206	0.154927344
207	0.1542731905
208	0.1536412082
209	0.1530824332
210	0.1525551144
211	0.1521257264
212	0.151738763
213	0.1513984768
214	0.1507136852
215	0.1500646702
216	0.1493556323
217	0.1488452025
218	0.1480195732
219	0.1475440293
220	0.147115841
221	0.1467006685
222	0.1462376585
223	0.1458986442
224	0.145183808
225	0.1444254603
226	0.1437358264
227	0.1433164346
228	0.1426993865
229	0.1419887565
230	0.1416303142
231	0.1409232203
232	0.1405751618
233	0.1400548582
234	0.1394144601
235	0.1390576861
236	0.1388066652
237	0.1384353776
238	0.1377707148
239	0.1371074743
240	0.1364948465
241	0.1359002414
242	0.1355127972
243	0.1350366454
244	0.1346620473
245	0.134128416
246	0.1337677072
247	0.1331691928
248	0.132760154
249	0.1324379908
250	0.1318545502
251	0.1315384009
252	0.1310624223
253	0.1306382417
254	0.1299162578
255	0.1293083667
256	0.128901598
257	0.1284468081
258	0.1281896948
259	0.1277296165
260	0.1273508862
261	0.1269144157
262	0.1266840682
263	0.1262089467
264	0.125740228
265	0.1253433353
266	0.1247689263
267	0.1244830745
268	0.1240478299
269	0.1233798365
270	0.1230983055
271	0.1225914425
272	0.1222058075
273	0.121990436
274	0.1216490819
275	0.1213840571
276	0.1210800764
277	0.1207532557
278	0.1202484272
279	0.1198630505
280	0.1194322318
281	0.1192394985
282	0.1188861645
283	0.1186522423
284	0.1180901759
285	0.1178140177
286	0.1172866647
287	0.1171026434
288	0.1165838908
289	0.116199636
290	0.1156914306
291	0.1152845451
292	0.1148937073
293	0.1145401143
294	0.1142232335
295	0.1137666591
296	0.1134916284
297	0.113089664
298	0.1127238981
299	0.1123655519
300	0.1119770581
301	0.1113320263
302	0.1108230365
303	0.1105175289
304	0.1101412067
305	0.1097391324
306	0.1094995363
307	0.1090698248
308	0.1088844634
309	0.108713824
310	0.1084092474
311	0.1079893395
312	0.1076833356
313	0.1074502448
314	0.1072624484
315	0.1069841215
316	0.1067025977
317	0.1065071108
318	0.1061743757
319	0.1057188518
320	0.1052461174
321	0.1050146489
322	0.1047540639
323	0.1044880416
324	0.104253192
325	0.1037528932
326	0.103482201
327	0.1032430816
328	0.1030300054
329	0.1028837323
330	0.1025993861
331	0.102232566
332	0.1020981624
333	0.1018930011
334	0.1017369972
335	0.1012771351
336	0.1009724988
337	0.100610772
338	0.1003820066
339	0.1001753609
340	0.09995050361
341	0.09964722702
342	0.09941566105
343	0.09916237966
344	0.09896492974
345	0.09867579081
346	0.09844405095
347	0.09824478932
348	0.09803874973
349	0.09760354938
350	0.09732219137
351	0.09718118037
352	0.09697863751
353	0.0966895164
354	0.09628956658
355	0.09608824034
356	0.09585790753
357	0.09555101129
358	0.09513519648
359	0.09487613114
