iter	Logloss
360	0.0946687441
361	0.09447304642
362	0.09421943114
363	0.09403262299
364	0.09380383956
365	0.09363353538
366	0.09323843446
367	0.09298361631
368	0.09286350995
369	0.09247839861
370	0.0920615891
371	0.09171685936
372	0.09149902646
373	0.09128989953
374	0.09106174585
375	0.09080719884
376	0.09069844872
377	0.0905419966
378	0.09030031213
379	0.09007458526
380	0.0898210138
381	0.08965427335
382	0.08935512077
383	0.08913664972
384	0.0889020942
385	0.08867676945
386	0.08829758502
387	0.08814368323
388	0.08802601544
389	0.08778858562
390	0.08763714664
391	0.08727741085
392	0.08692769323
393	0.08685068134
394	0.08653726127
395	0.08636683525
396	0.08616164792
397	0.08606161634
398	0.0859194535
399	0.0856968151
